port1,port2,sim_score
Reni,SIMRISHAMN,-0.3083239844397174
Reni,TROLLHÄTTAN,-0.27372688845418935
Reni,LÄNSI,-0.421590287749931
Reni,NORRSUNDET,0.25264026159532815
Reni,KIEL,-0.251165220689241
Reni,LANDSKRONA,-0.3023052640335285
Reni,HELSINGBORG,-0.31163012263621626
Reni,Aamshite,-0.22602657084377004
Reni,MALMÖ,-0.28485271807251517
Reni,HELSINGÖR,-0.3221206533929263
Reni,YSTAD,-0.25901598438635354
Reni,KÖGE,-0.2772546431132367
Reni,KÖPENHAMN,-0.28353978744613084
Reni,Ambarli,-0.1523185216820784
Reni,Eckerö,0.016865574782168706
Reni,HELSINKI/HELSINGFORS,-0.3210472864668727
Reni,HANKO/HANGÖ,-0.3433774570525352
Reni,Agio Theodoroi,0.5007639065894135
Reni,Idhra (Hydra),0.5032763274670246
Reni,Naxos,-0.3812858060255331
Reni,Eleusis,0.4088041436276581
Reni,Lavrion (Laurium),0.26440997565169866
Reni,Nea Karvali,-0.07395338014758143
Reni,VISBY,-0.14798615536075777
Reni,Abu Qir,0.11394065602663747
Reni,LÖDÖSE,-0.2153752761923287
Reni,RAUMA,-0.0845084123201507
Reni,PRIMORSK,-0.2866843594814432
Reni,RONEHAMN,-0.2772674267778995
Reni,HÖGANÄS,-0.3238572675624213
Reni,KALMAR,0.33222322264700144
Reni,GRENÅ,-0.5353146385399722
Reni,Braila,0.9979971555131426
Reni,OSKARSHAMN,0.1776947174070867
Reni,VÄSTERÅS,0.09847985021608936
Reni,LYSEKIL,-0.0350548522101292
Reni,FREDRIKSHAMN,-0.5140819963817779
Reni,SLITE,0.1618045090454942
Reni,Agnesberg,-0.43271362202076474
Reni,ÖRNSKÖLDSVIK,-0.0475069541809716
Reni,SÖLVESBORG,-0.3430596934643851
Reni,STOCKHOLM,0.09991522768856913
Reni,BÅLSTA,0.08887281990504081
Reni,KARLSHAMN,-0.33627215506372016
Reni,HALMSTAD,-0.3593711578378692
Reni,Tasucu,-0.13128517057311695
Reni,Aliaga,0.2683322211035533
Reni,Diliskelesi,-0.11454454000563084
Reni,Foca,0.3000843062298091
Reni,Derince,-0.07512261535689578
Reni,Beykoz,-0.019091052390727913
Reni,Mudanya,-0.03847923493227438
Reni,Tuzla,-0.09196698673492809
Reni,Basarabi,-0.021290541304779448
Reni,Nikolayev,0.2105647915352062
Reni,TRELLEBORG,-0.2937319096791625
Reni,Tuapse,-0.14447969349358125
Reni,Eregli,-0.11803685104232561
Reni,STORUGNS,0.05560458636016243
Reni,FALKENBERG,-0.3579660305666745
Reni,Bodrum,-0.1995146376079385
Reni,Dhekelia,-0.1437769468009888
Reni,Maltepe,-0.06441864282144183
Reni,Tel Aviv,-0.22355419359782194
Reni,Haifa,0.03643111126277787
Reni,Izmir,0.29696490481417365
Reni,Cesme,0.02147669913408622
Reni,Trabzon,-0.0675217033560856
Reni,Canakkale,0.0481903226303551
Reni,Constanta,-0.03280832541282469
Reni,HARGSHAMN,0.38658507277615145
Reni,Buyukcekmece,-0.015312641922561756
Reni,VARBERG,-0.36023013020420586
Reni,OSLO,-0.39952048228128273
Reni,INKOO,-0.5036887346012844
Reni,VAASA,-0.05121888658028611
Reni,STENUNGSUND,-0.13457033500681762
Reni,Amorgos,-0.22825915031334224
Reni,Syros (Syra),-0.20185257113332697
Reni,Yali Island,-0.24420603467792196
Reni,Kos,-0.20234934891835765
Reni,Rhodes,-0.2669368348149137
Reni,DEGERHAMN,-0.2052958892207658
Reni,Gelibolu,0.029259279568196742
Reni,KÖPING,0.14691147217574424
Reni,KRAMFORS,0.08505837202038587
Reni,STRÅ,0.11644986389097561
Reni,NYNÄSHAMN,0.07795511745732357
Reni,SUNDSVALL,-0.31356955248698193
Reni,MÖNSTERÅS,0.2924749857203836
Reni,Amasra,-0.1359238665472308
Reni,Sariyer,-0.10078460553474206
Reni,Itea,-0.21968602668198958
Reni,Dikili,0.2984374577470315
Reni,OXELÖSUND,-0.11878342822998696
Reni,Mersin,-0.1492449084314963
Reni,Ashdod,-0.11315511404137149
Reni,Thira,-0.28686290117400387
Reni,Patmos,-0.24063401341859947
Reni,Alexandria,0.10651490432633108
Reni,Ilyichevsk,0.1557958653851475
Reni,HUSUM,-0.0032784327598884277
Reni,Ain El Mraisse _El Jisr,-0.21325324972002044
Reni,SÖDERTÄLJE,0.07877831752033822
Reni,KEMI,0.09805422224712898
Reni,VÄSTERVIK,-0.30047400365900045
Reni,Parainen,-0.2487603337226402
Reni,BROFJORDEN,-0.3908852802809829
Reni,GRISSLEHAMN,0.06949113559802952
Reni,PIETARSAARI,-0.05275093488049714
Reni,Ayancik,-0.22583607729300942
Reni,MUUGA,-0.12150076529576619
Reni,TALLIN,-0.21479518522486546
Reni,Kusadasi,0.0
Reni,Sarkoy,-0.01193361787577123
Reni,Akrotiri,-0.11952525287189003
Reni,STRÖMSTAD,-0.5025975448399356
Reni,SKÖLDVIK,-0.3497870240570223
Reni,MARIEHAMN,0.0017386907213022256
Reni,KOVERHAR,-0.3156913732938193
Reni,MUSSALO,-0.2742922110858507
Reni,Odessa,0.005762918945588377
Reni,Batroun,-0.18528048043093873
Reni,Limassol,-0.1741088275668753
Reni,NORRKÖPING,-0.10851254339362405
Reni,SÖRÅKER,-0.3174202793939272
Reni,Mangalia,-0.016023583897569808
Reni,Hadera,0.0069338664474460215
Reni,Zonguldak,-0.09138536890732474
Reni,RAAHE,0.3430269986523664
Reni,VENTSPILS,-0.2952751130718898
Reni,TAALINTEHDAS,-0.27631592252910886
Reni,KARLSKRONA,-0.3621088983370952
Reni,KAPELLSKÄR,0.2146545254428178
Reni,PALDISKI,-0.13969665194851452
Reni,HARAHOLMEN,-0.040710589460179525
Reni,Samsun,-0.19421724610560864
Reni,TORNIO,0.015589983095715639
Reni,LÅNGNÄS,-0.0904516065366815
Reni,Vassiliko,-0.08095615529264019
Reni,Skiathos,-0.08740916039844514
Reni,Oktyabrsk,0.16758593650964182
Reni,SKUTSKÄR,0.06889332775196544
Reni,Ceyhan,0.34486455468587945
Reni,Kalimnos Island,-0.22591231915302237
Reni,Sulina (Port Et Zone Franche),0.976415710459682
Reni,El Dekheila,0.15806043586933172
Reni,UUSIKAUPUNKI/NYSTAD,-0.10866846653936352
Reni,Keramoti,-0.12000304776969994
Reni,Kymi (Kimi),0.03965621777840441
Reni,LOVIISA,-0.26824177136131944
Reni,SAINT PETERSBURG,-0.3106610399468255
Reni,Supsa,0.0
Reni,KANTVIK,-0.4999943839579522
Reni,Marmaris,-0.2564547389416264
Reni,Bartin,-0.0844520304135894
Reni,BERGKVARA,0.3243727769973508
Reni,NAANTALI/NÅDENDAL,-0.23673098381529487
Reni,Izmail,0.9916844067570327
Reni,Mariupol,-0.1273565565080065
Reni,Yumurtalik Bay,0.30943251308415404
Reni,OULU,-0.018546839366350786
Reni,MARIESTAD,-0.30381860272135963
Reni,UDDEVALLA,0.1469383974343535
Reni,HÖNSÄTER,-0.43328093478588936
Reni,Tekirdag,0.009394899628225865
Reni,Iskenderun,0.16513465677166733
Reni,LIDKÖPING,-0.3164871094742982
Reni,Mytilene,0.21938888693633082
Reni,HOLMSUND,0.00787613435359645
Reni,HUDIKSVALL,-0.1259697275177304
Reni,Fethiye,-0.3217793204179579
Reni,Yuzhnyy,0.029896004253414595
Reni,ÅHUS,-0.31685016420601936
Reni,Erdek,0.09205068245554894
Reni,Kalecik,-0.19997320629793675
Reni,Bandirmar,0.000959627892944891
Reni,Otranto,-0.13192545336383046
Reni,SKOGHALL,-0.24190428416945728
Reni,Finike,-0.30577149852422675
Reni,Ayvalik,0.29226654953149134
Reni,HAMINA,-0.22609802814668906
Reni,OTTERBÄCKEN,-0.2824114761780798
Reni,LULEÅ,0.16502663935777664
Reni,SILLAMÄE,-0.32736784871959107
Reni,Skopelos,-0.03969956853947927
Reni,Sevastopol,0.15760669277663017
Reni,KALAJOKI,0.069564151414
Reni,LOKSA,-0.29657406717245766
Reni,Burgas,-0.24371093432271293
Reni,Karabiga,-0.029626541463508328
Reni,Belgorod-Dnestrovskiy,0.041308873612911925
Reni,Poti,-0.5955347999115984
Reni,Inebolu,-0.29475779998045326
