port1,port2,sim_score
Rize,Fatsa,1.0
Berdyansk,Kerch,1.0
Ordu,Giresun,0.9999999999999999
Trabzon,Gorele,0.9999999999999977
Bar,Zelenika,0.9999999999999959
HAMINA,KARLSBORG,0.9999927474136808
Basarabi,Mangalia,0.9997288422220235
HALMSTAD,VARBERG,0.9996734135578903
Abu Qir,Alexandria,0.9996048078552122
Agio Theodoroi,Idhra (Hydra),0.9995825577885638
MUSSALO,LOVIISA,0.9994385885219277
HELSINGBORG,HELSINGÖR,0.9991395835333886
LANDSKRONA,HELSINGBORG,0.9990765996039938
HELSINGBORG,MALMÖ,0.999052832369106
Aamshite,Ain El Mraisse _El Jisr,0.9990179114227145
HELSINGÖR,HÖGANÄS,0.9987868898620045
HELSINGBORG,HÖGANÄS,0.9987447146271138
Aliaga,Izmir,0.9987294785275613
SIMRISHAMN,VENTSPILS,0.9986522553534599
Beykoz,Buyukcekmece,0.9983032552370146
MALMÖ,HELSINGÖR,0.9982949856121762
HELSINKI/HELSINGFORS,SAINT PETERSBURG,0.998150680987188
Reni,Braila,0.9979971555131426
Constanta,Medgidia,0.9979517186465617
Ayancik,Sinop,0.9978991559657366
KARLSHAMN,ÅHUS,0.9978626888656893
MALMÖ,KÖGE,0.9977827799088524
LANDSKRONA,HELSINGÖR,0.9977200422637331
Foca,Dikili,0.9976611234173987
LANDSKRONA,MALMÖ,0.9976320368753626
KÖGE,KÖPENHAMN,0.9975079814939529
MALMÖ,HÖGANÄS,0.9974960394327754
Dhekelia,Limassol,0.9974349009004679
Basarabi,Medgidia,0.9974134725768291
Dhekelia,Paphos,0.9973271318682209
Derince,Tuzla,0.9972764633529729
Vassiliko,Paphos,0.9972152381843513
El Dekheila,Sidi Kerir,0.9971606735207974
RONEHAMN,SAINT PETERSBURG,0.9971214739134305
LANDSKRONA,KÖGE,0.9969184846847725
Nikolayev,Oktyabrsk,0.9968615101833243
HELSINGBORG,KÖGE,0.9968086273512747
GRENÅ,FREDRIKSHAMN,0.9967211918639319
VENTSPILS,SAINT PETERSBURG,0.9965646949902993
HELSINGÖR,KÖGE,0.9965576025605176
Foca,Ayvalik,0.9964470774822337
LANDSKRONA,HÖGANÄS,0.9964338843528787
Abu Qir,Sidi Kerir,0.996263931783264
Ilyichevsk,Sevastopol,0.9962483761203937
Aliaga,Dikili,0.996204989580476
Izmir,Dikili,0.9961682996620647
HELSINGÖR,KÖPENHAMN,0.9961512410213825
Mangalia,Medgidia,0.9961211992402037
Dhekelia,Akrotiri,0.9959474909869183
LANDSKRONA,KÖPENHAMN,0.9959038246002271
Alexandria,El Dekheila,0.9957977562555911
Alexandria,Sidi Kerir,0.9956618429163389
Abu Qir,El Dekheila,0.9956302400925825
INKOO,KANTVIK,0.9956140941376019
Sarkoy,Karabiga,0.9956117223427017
Diliskelesi,Tuzla,0.9955913466213868
KIEL,DEGERHAMN,0.9955656303507863
OXELÖSUND,NORRKÖPING,0.9955640864474439
Basarabi,Constanta,0.9955242185548372
Aliaga,Foca,0.9954078131769927
Foca,Izmir,0.9953672162977714
RONEHAMN,VENTSPILS,0.9953094427559106
KIEL,RONEHAMN,0.9951786419392167
RONEHAMN,DEGERHAMN,0.9950781864853897
Eregli,Amasra,0.9950497509474168
Diliskelesi,Mudanya,0.9950225984093526
SIMRISHAMN,SAINT PETERSBURG,0.9950195250856576
Eregli,Bartin,0.9949420445881793
HELSINGBORG,KÖPENHAMN,0.9946939729559047
Constanta,Mangalia,0.9945828946138205
Limassol,Paphos,0.9943791836708086
Dikili,Ayvalik,0.9943785136719262
MALMÖ,KÖPENHAMN,0.9942474633986885
Akrotiri,Paphos,0.994135949009975
UUSIKAUPUNKI/NYSTAD,KOKKOLA,0.9940852054388167
Maltepe,Bandirmar,0.9940533807738623
Dhekelia,Vassiliko,0.9940478907831639
Inebolu,Cide,0.9939793085190554
RAUMA,UUSIKAUPUNKI/NYSTAD,0.9939060332732641
HELSINKI/HELSINGFORS,VENTSPILS,0.9938929979616834
Akrotiri,Limassol,0.9938370938759672
Mudanya,Tuzla,0.9936642953566945
Zonguldak,Bartin,0.993643830415451
Mudanya,Bandirmar,0.9936072806615264
Batroun,El Aabde,0.9933945461996484
STOCKHOLM,BÅLSTA,0.9933399334788852
SIMRISHAMN,RONEHAMN,0.993171699997403
Buyukcekmece,Sariyer,0.993143912366405
HELSINKI/HELSINGFORS,RONEHAMN,0.9930106060330087
VISBY,DEGERHAMN,0.9930049670521497
HARAHOLMEN,KASKINEN,0.992980048544246
MUUGA,PALDISKI,0.9929622131794933
Beykoz,Sariyer,0.9929620699859327
VÄSTERÅS,STOCKHOLM,0.9929616576229893
SIMRISHAMN,HELSINKI/HELSINGFORS,0.9929453574017606
KÖGE,HÖGANÄS,0.9929267449916056
KALMAR,BERGKVARA,0.9928940263532038
Odessa,Belgorod-Dnestrovskiy,0.9928854925296802
VISBY,HUDIKSVALL,0.992576640143674
DEGERHAMN,SAINT PETERSBURG,0.992524853415393
BÅLSTA,KÖPING,0.9921931723073559
Derince,Mudanya,0.9921639507058897
Parainen,NAANTALI/NÅDENDAL,0.9920672886588986
MALMÖ,TRELLEBORG,0.991914848302743
KÖPENHAMN,HÖGANÄS,0.9917841016891809
Mudanya,Maltepe,0.991778476626094
HELSINGÖR,TRELLEBORG,0.9917743627931893
Kalecik,Famagusta,0.9917570108979669
Reni,Izmail,0.9916844067570327
LANDSKRONA,ÅMÅL,0.9914480974187314
Skiathos,Skopelos,0.9914399465354786
VAASA,UUSIKAUPUNKI/NYSTAD,0.9914372175402693
PRIMORSK,UST-LUGA,0.9913748858054107
DEGERHAMN,VENTSPILS,0.9913004697351345
Diliskelesi,Maltepe,0.991178459578443
Sevastopol,Belgorod-Dnestrovskiy,0.9910213539455013
HELSINGBORG,TRELLEBORG,0.9905535622649269
Amasra,Bartin,0.9904051619968925
LANDSKRONA,TRELLEBORG,0.990377113710947
KÖPENHAMN,ÅMÅL,0.9903625544118873
Ceyhan,Yumurtalik Bay,0.9903568803888323
Limassol,Vassiliko,0.9903028516344896
Diliskelesi,Derince,0.9902225163531131
Diliskelesi,Bandirmar,0.9901895849424731
KIEL,SAINT PETERSBURG,0.9900548529589452
KÖGE,TRELLEBORG,0.9899606603635934
Akrotiri,Vassiliko,0.9899455899250442
KIEL,VISBY,0.9898734293953475
Ilyichevsk,Belgorod-Dnestrovskiy,0.9898072172164472
Skiathos,Limni,0.9897102940634087
VÄSTERÅS,KÖPING,0.9895612526161802
RONEHAMN,UST-LUGA,0.9893806689040631
Eckerö,KOKKOLA,0.9893709781371953
Marmaris,Gocek,0.9893506791880675
Odessa,Yuzhnyy,0.9893404993009025
Samsun,Fatsa,0.9893061902526197
Samsun,Rize,0.9893061902526197
Amasra,Zonguldak,0.9890649396841077
Inebolu,Sinop,0.9889802302769246
Fethiye,Gocek,0.9888405409783987
SÖLVESBORG,KARLSHAMN,0.9888148923254247
RAUMA,HARAHOLMEN,0.988770650465559
UUSIKAUPUNKI/NYSTAD,PORI/MÄNTYLUOTO,0.9887542931874532
DEGERHAMN,HUDIKSVALL,0.9885943416278372
HELSINKI/HELSINGFORS,DEGERHAMN,0.9885735161963192
HÖGANÄS,TRELLEBORG,0.9885120402659799
RAUMA,KASKINEN,0.9884729949760843
STOCKHOLM,KÖPING,0.9883839400383039
KÖPENHAMN,TRELLEBORG,0.9883602565691503
HALMSTAD,TRELLEBORG,0.988325736127344
MARIEHAMN,HOLMSUND,0.9882054539056052
GRISSLEHAMN,SKELLEFTEHAMN,0.9881465519293362
Eregli,Zonguldak,0.988087965639307
Aliaga,Ayvalik,0.9880200296028179
Finike,Akdeniz,0.9879885262015771
HÖGANÄS,VARBERG,0.9879520500265482
KÖGE,ÅMÅL,0.987921852411405
KIEL,UST-LUGA,0.9879205652858143
FREDRIKSHAMN,STRÖMSTAD,0.987903009336873
KIEL,VENTSPILS,0.9878597904154519
SIMRISHAMN,DEGERHAMN,0.9877900365573656
SAINT PETERSBURG,UST-LUGA,0.987691594148211
LÄNSI,OSLO,0.9876711621479486
Skopelos,Achladi,0.9873512807614564
HELSINGBORG,ÅMÅL,0.9872745957770684
VAASA,PORI/MÄNTYLUOTO,0.9872695169449575
HOLMSUND,KOKKOLA,0.9871487192936915
Hadera,En Naqoura,0.9868906755817497
Yali Island,Kalimnos Island,0.9868589248102132
HÖGANÄS,HALMSTAD,0.9867960502788402
El Aabde,Cheikh Zennad,0.9867472665440362
GRISSLEHAMN,KALAJOKI,0.9867147617865853
Skiathos,Achladi,0.9867098125888668
Finike,Kas,0.9866176353673054
TRELLEBORG,VARBERG,0.9865709792933945
Sulina (Port Et Zone Franche),Izmail,0.9864158056225419
SÖLVESBORG,ÅHUS,0.9863724420331196
RAUMA,VAASA,0.9862428210887444
NYNÄSHAMN,SÖDERTÄLJE,0.9861236882901581
LÖDÖSE,STENUNGSUND,0.9861208541171727
HÖGANÄS,FALKENBERG,0.9858952004774295
Eckerö,UUSIKAUPUNKI/NYSTAD,0.9858549236897751
KIEL,HUDIKSVALL,0.9858035567286768
VÄSTERÅS,BÅLSTA,0.9857261120896512
KIEL,HELSINKI/HELSINGFORS,0.9856842040519187
HELSINGBORG,VARBERG,0.9856427539495366
Ayancik,Inebolu,0.9856418812667126
VAASA,HOLMSUND,0.9856392976850137
Izmir,Ayvalik,0.9856369749221763
LANDSKRONA,HALMSTAD,0.985582356440625
HELSINGÖR,VARBERG,0.9855693014423593
FALKENBERG,VARBERG,0.9855462899593
LANDSKRONA,VARBERG,0.9855168597933432
VISBY,RONEHAMN,0.9854645807602475
Bodrum,Kos,0.9854184541568125
Mersin,Anamur,0.985375699213163
HELSINKI/HELSINGFORS,UST-LUGA,0.9853700503087612
HELSINGBORG,HALMSTAD,0.9853113422378847
VAASA,KOKKOLA,0.9851907101420889
HELSINGÖR,HALMSTAD,0.9850398607665419
Braila,Izmail,0.9848839760515616
KEMI,SÖDERHAMN,0.9847875738956168
HELSINGÖR,ÅMÅL,0.9846508182303271
VISBY,UUSIKAUPUNKI/NYSTAD,0.984641003113119
DEGERHAMN,UST-LUGA,0.9845931337370273
MÖNSTERÅS,BERGKVARA,0.9844572116913978
LOVIISA,KARLSBORG,0.9843006739572118
Batroun,Cheikh Zennad,0.984056040304319
SIMRISHAMN,KIEL,0.9840347803836278
MALMÖ,ÅMÅL,0.9839352106303499
LOVIISA,HAMINA,0.9838674690651941
RONEHAMN,HUDIKSVALL,0.9838101861994795
SÖLVESBORG,KARLSKRONA,0.9838088471894687
Idhra (Hydra),Eleusis,0.9836976800593888
VARBERG,BROFJORDEN,0.9836551442461767
Ambarli,Sariyer,0.9836028556011831
SIMRISHAMN,UST-LUGA,0.9835750865486396
MARIEHAMN,SKELLEFTEHAMN,0.9835474952426319
PORI/MÄNTYLUOTO,KOKKOLA,0.9835092759763917
Tel Aviv,Ashkelon,0.9834275515311826
SKOGHALL,GRUVÖN,0.9833364971441322
Eckerö,HOLMSUND,0.9833288990166653
