area,h3_1_int,h3_1
baltic,581118283558682623,8108bffffffffff
baltic,581109487465660415,81083ffffffffff
baltic,581122681605193727,8108fffffffffff
baltic,581135875744727039,8109bffffffffff
baltic,581267817140060159,81113ffffffffff
baltic,581514107744681983,811f3ffffffffff
baltic,581518505791193087,811f7ffffffffff
black,581760398349303807,812d3ffffffffff
black,581500913605148671,811e7ffffffffff
black,581509709698170879,811efffffffffff
black,581742806163259391,812c3ffffffffff
black,581764796395814911,812d7ffffffffff
black,581769194442326015,812dbffffffffff
black,582081455744614399,813f7ffffffffff
