area,country,median_rank_2021,median_rank_2022,diff,rank,iso2,bg_color,diff_color
baltic,Sweden,5,6,-1,1,se,bg-gray-300,bg-gray-100
baltic,Germany,6,8,-2,2,de,bg-gray-300,bg-gray-100
black,Turki,12,16,-4,3,tr,bg-gray-200,bg-gray-100
black,Greece,27,28,-1,4,gr,bg-gray-200,bg-gray-100
black,Ukraine,30,57,-27,5,ua,bg-yellow-200,bg-red-100
baltic,Finland,38,41,-3,6,fin,bg-gray-300,bg-gray-100
black,Romania,48,35,13,7,ro,bg-gray-200,bg-teal-100
baltic,Norway,52,68,-16,8,no,bg-gray-300,bg-red-100
other,Cyprus,67,92,-25,9,cy,bg-gray-100,bg-red-100
black,Russia,73,162,-89,10,ru,bg-yellow-200,bg-red-300
other,Italy,87,180,-93,11,it,bg-gray-100,bg-red-300
other,Montenegro,88,86,2,12,me,bg-gray-100,bg-gray-100
baltic,Denmark,92,103,-11,13,dk,bg-gray-300,bg-red-100
baltic,Estonia,98,83,15,14,ee,bg-gray-300,bg-teal-100
other,Egypt,123,101,23,15,eg,bg-gray-100,bg-teal-100
other,Lebanon,130,110,20,16,lb,bg-gray-100,bg-teal-100
other,Israel,131,149,-18,17,il,bg-gray-100,bg-red-100
black,Georgia,156,145,11,18,ge,bg-gray-200,bg-teal-100
baltic,Latvia,167,115,52,19,lv,bg-gray-300,bg-teal-300
black,Bulgaria,184,202,-18,20,bg,bg-gray-200,bg-red-100
