,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
119,Agnesberg,2321,57.7856,12.0076,se,baltic,851f25abfffffff,599526696999190527
714,Agnesberg,2321,57.7856,12.0076,se,baltic,851f2533fffffff,599526696999190527
715,Agnesberg,2321,57.7856,12.0076,se,baltic,851f25affffffff,599526696999190527
716,Agnesberg,2321,57.7856,12.0076,se,baltic,851f2517fffffff,599526696999190527
717,Agnesberg,2321,57.7856,12.0076,se,baltic,851f25bbfffffff,599526696999190527
718,Agnesberg,2321,57.7856,12.0076,se,baltic,851f25a3fffffff,599526696999190527
719,Agnesberg,2321,57.7856,12.0076,se,baltic,851f2507fffffff,599526696999190527
126,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f28affffffff,599526904231362559
756,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f28a7fffffff,599526904231362559
757,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f2837fffffff,599526904231362559
758,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f28abfffffff,599526904231362559
759,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f28a3fffffff,599526904231362559
760,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f2833fffffff,599526904231362559
761,BERGKVARA,9238,56.3832,16.0831,se,baltic,851f29dbfffffff,599526904231362559
10,BOHUS,8763428,57.824,12.016124,se,baltic,851f25abfffffff,599526696999190527
60,BOHUS,8763428,57.824,12.016124,se,baltic,851f2533fffffff,599526696999190527
61,BOHUS,8763428,57.824,12.016124,se,baltic,851f25affffffff,599526696999190527
62,BOHUS,8763428,57.824,12.016124,se,baltic,851f2517fffffff,599526696999190527
63,BOHUS,8763428,57.824,12.016124,se,baltic,851f25bbfffffff,599526696999190527
64,BOHUS,8763428,57.824,12.016124,se,baltic,851f25a3fffffff,599526696999190527
65,BOHUS,8763428,57.824,12.016124,se,baltic,851f2507fffffff,599526696999190527
124,BROFJORDEN,4219,58.35,11.416492,se,baltic,85099a67fffffff,599147690831380479
744,BROFJORDEN,4219,58.35,11.416492,se,baltic,8508b49bfffffff,599147690831380479
745,BROFJORDEN,4219,58.35,11.416492,se,baltic,85099a6ffffffff,599147690831380479
746,BROFJORDEN,4219,58.35,11.416492,se,baltic,85099a63fffffff,599147690831380479
747,BROFJORDEN,4219,58.35,11.416492,se,baltic,85099a2bfffffff,599147690831380479
748,BROFJORDEN,4219,58.35,11.416492,se,baltic,85099a77fffffff,599147690831380479
749,BROFJORDEN,4219,58.35,11.416492,se,baltic,8508b493fffffff,599147690831380479
123,BÅLSTA,4949,59.5833,17.504,se,baltic,85088607fffffff,599128698485997567
738,BÅLSTA,4949,59.5833,17.504,se,baltic,8508863bfffffff,599128698485997567
739,BÅLSTA,4949,59.5833,17.504,se,baltic,85088617fffffff,599128698485997567
740,BÅLSTA,4949,59.5833,17.504,se,baltic,85088633fffffff,599128698485997567
741,BÅLSTA,4949,59.5833,17.504,se,baltic,850886abfffffff,599128698485997567
742,BÅLSTA,4949,59.5833,17.504,se,baltic,85088603fffffff,599128698485997567
743,BÅLSTA,4949,59.5833,17.504,se,baltic,8508860ffffffff,599128698485997567
125,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f29cbfffffff,599526980467032063
750,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f29cffffffff,599526980467032063
751,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f2837fffffff,599526980467032063
752,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f29c3fffffff,599526980467032063
753,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f2953fffffff,599526980467032063
754,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f29dbfffffff,599526980467032063
755,DEGERHAMN,9557327,56.3501248,16.4168,se,baltic,851f2827fffffff,599526980467032063
148,Eckerö,747712,60.229,19.5421,fi,baltic,8508839bfffffff,599128532056014847
888,Eckerö,747712,60.229,19.5421,fi,baltic,850883d7fffffff,599128532056014847
889,Eckerö,747712,60.229,19.5421,fi,baltic,85088383fffffff,599128532056014847
890,Eckerö,747712,60.229,19.5421,fi,baltic,85088067fffffff,599128532056014847
891,Eckerö,747712,60.229,19.5421,fi,baltic,8508838bfffffff,599128532056014847
892,Eckerö,747712,60.229,19.5421,fi,baltic,85088393fffffff,599128532056014847
893,Eckerö,747712,60.229,19.5421,fi,baltic,8508806ffffffff,599128532056014847
11,FALKENBERG,8241721,56.916,12.499,se,baltic,851f211bfffffff,599526383466577919
66,FALKENBERG,8241721,56.916,12.499,se,baltic,851f21cffffffff,599526383466577919
67,FALKENBERG,8241721,56.916,12.499,se,baltic,851f2113fffffff,599526383466577919
68,FALKENBERG,8241721,56.916,12.499,se,baltic,851f21c7fffffff,599526383466577919
69,FALKENBERG,8241721,56.916,12.499,se,baltic,851f2157fffffff,599526383466577919
70,FALKENBERG,8241721,56.916,12.499,se,baltic,851f210bfffffff,599526383466577919
71,FALKENBERG,8241721,56.916,12.499,se,baltic,851f2103fffffff,599526383466577919
12,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f2423fffffff,599526591772491775
72,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f242bfffffff,599526591772491775
73,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f2437fffffff,599526591772491775
74,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f243bfffffff,599526591772491775
75,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f242ffffffff,599526591772491775
76,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f2427fffffff,599526591772491775
77,FREDRIKSHAMN,897421,57.433299,10.530099,dk,baltic,851f2433fffffff,599526591772491775
149,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d63fffffff,599130303730024447
894,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d7bfffffff,599130303730024447
895,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d6bfffffff,599130303730024447
896,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d67fffffff,599130303730024447
897,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d6ffffffff,599130303730024447
898,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d73fffffff,599130303730024447
899,FÖRBY,9393214,60.101,22.8534,fi,baltic,85089d77fffffff,599130303730024447
13,GDANSK,785329,54.36023,18.64912,pl,baltic,851f09b3fffffff,599524775001325567
78,GDANSK,785329,54.36023,18.64912,pl,baltic,851f0987fffffff,599524775001325567
79,GDANSK,785329,54.36023,18.64912,pl,baltic,851f724bfffffff,599524775001325567
80,GDANSK,785329,54.36023,18.64912,pl,baltic,851f09a3fffffff,599524775001325567
81,GDANSK,785329,54.36023,18.64912,pl,baltic,851f724ffffffff,599524775001325567
82,GDANSK,785329,54.36023,18.64912,pl,baltic,851f09bbfffffff,599524775001325567
83,GDANSK,785329,54.36023,18.64912,pl,baltic,851f09b7fffffff,599524775001325567
14,GDYNIA,12641287,54.5343,18.5459,pl,baltic,851f7243fffffff,599531960481611775
84,GDYNIA,12641287,54.5343,18.5459,pl,baltic,851f7247fffffff,599531960481611775
