,name,port_id,lat_port,lon_port,iso2,area,h3_5_hexring
0,Aamshite,wfp.16923,34.15214,35.62828,lb,black,"['852da273fffffff', '852da20bfffffff', '852da20ffffffff', '852da27bfffffff', '852da277fffffff', '852da247fffffff', '852da263fffffff']"
1,Aamshite Fuel Oil Port,wfp.17891,34.15434,35.63044,lb,black,"['852da273fffffff', '852da20bfffffff', '852da20ffffffff', '852da27bfffffff', '852da277fffffff', '852da247fffffff', '852da263fffffff']"
2,Abu Qir,wfp.15978,31.32275,30.07086,eg,black,"['853f596bfffffff', '853f5963fffffff', '853f5ba7fffffff', '853f596ffffffff', '853e66d3fffffff', '853f5bb7fffffff', '853f597bfffffff']"
3,Achladi,wfp.17639,38.89103,22.81134,gr,black,"['851ede63fffffff', '851ede6bfffffff', '851ede77fffffff', '851ede7bfffffff', '851ede73fffffff', '851ede6ffffffff', '851ede67fffffff']"
4,Agio Theodoroi,wfp.17321,37.92756,23.14454,gr,black,"['851eda4ffffffff', '851eda43fffffff', '851eda7bfffffff', '851eda4bfffffff', '851eda47fffffff', '853f29b7fffffff', '853f29b3fffffff']"
5,Agnesberg,2321,57.7856,12.0076,se,baltic,"['851f25abfffffff', '851f2533fffffff', '851f25affffffff', '851f2517fffffff', '851f25bbfffffff', '851f25a3fffffff', '851f2507fffffff']"
6,Ain El Mraisse _El Jisr,wfp.17550,33.90228,35.49546,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
7,Ain El Mraisse _El Manara,wfp.17549,33.89853,35.4689,lb,black,"['852da24ffffffff', '852da24bfffffff', '852db1b7fffffff', '852db1b3fffffff', '852da27bfffffff', '852da243fffffff', '852da247fffffff']"
8,Akdeniz,wfp.17383,36.83469,30.6047,tr,black,"['853f6e37fffffff', '853f68cbfffffff', '853f6eaffffffff', '853f68dbfffffff', '853f6e27fffffff', '853f6e33fffffff', '853f6e23fffffff']"
9,Akrotiri,wfp.14569,34.57054,33.03232,UNKNOWN,black,"['853f4d33fffffff', '853f4d3bfffffff', '853f4d23fffffff', '853f4dabfffffff', '853f4d37fffffff', '853f4d07fffffff', '853f4daffffffff']"
10,Alanya,wfp.15429,36.53688,31.99813,tr,black,"['853f6823fffffff', '853f682bfffffff', '853f6837fffffff', '853f683bfffffff', '853f682ffffffff', '853f6833fffffff', '853f6827fffffff']"
11,Alexandria,wfp.16270,31.19534,29.88146,eg,black,"['853f5bb7fffffff', '853f594ffffffff', '853f5ba3fffffff', '853f5bb3fffffff', '853f5ba7fffffff', '853f596bfffffff', '853f597bfffffff']"
12,Aliaga,wfp.14973,38.80293,26.96204,tr,black,"['853f6447fffffff', '853f6443fffffff', '853f644ffffffff', '853f6457fffffff', '853f640bfffffff', '853f647bfffffff', '853f6473fffffff']"
13,Amasra,wfp.16192,41.74558,32.38736,tr,black,"['852d0483fffffff', '852d0493fffffff', '852d0497fffffff', '852d0487fffffff', '852d048ffffffff', '852d048bfffffff', '852d049bfffffff']"
14,Ambarli,wfp.17151,40.97633,28.6957,tr,black,"['851ec91bfffffff', '851ec903fffffff', '851ec90bfffffff', '851ec9c7fffffff', '851ec957fffffff', '851ec9cffffffff', '851ec913fffffff']"
