,name,port_id,lat_port,lon_port,iso2,h3_5
119,Agnesberg,2321,57.7856,12.0076,se,599526696999190527
714,Agnesberg,2321,57.7856,12.0076,se,599526657270743039
715,Agnesberg,2321,57.7856,12.0076,se,599526664786935807
716,Agnesberg,2321,57.7856,12.0076,se,599526701294157823
717,Agnesberg,2321,57.7856,12.0076,se,599526694851706879
718,Agnesberg,2321,57.7856,12.0076,se,599526698072932351
719,Agnesberg,2321,57.7856,12.0076,se,599526652975775743
126,BERGKVARA,9238,56.3832,16.0831,se,599526904231362559
756,BERGKVARA,9238,56.3832,16.0831,se,599526872019107839
757,BERGKVARA,9238,56.3832,16.0831,se,599526984761999359
758,BERGKVARA,9238,56.3832,16.0831,se,599526901010137087
759,BERGKVARA,9238,56.3832,16.0831,se,599526902083878911
760,BERGKVARA,9238,56.3832,16.0831,se,599526870945366015
761,BERGKVARA,9238,56.3832,16.0831,se,599526903157620735
10,BOHUS,8763428,57.824,12.016124,se,599526696999190527
60,BOHUS,8763428,57.824,12.016124,se,599526657270743039
61,BOHUS,8763428,57.824,12.016124,se,599526664786935807
62,BOHUS,8763428,57.824,12.016124,se,599526701294157823
63,BOHUS,8763428,57.824,12.016124,se,599526694851706879
64,BOHUS,8763428,57.824,12.016124,se,599526698072932351
65,BOHUS,8763428,57.824,12.016124,se,599526652975775743
124,BROFJORDEN,4219,58.35,11.416492,se,599147690831380479
744,BROFJORDEN,4219,58.35,11.416492,se,599147692978864127
745,BROFJORDEN,4219,58.35,11.416492,se,599131899310374911
746,BROFJORDEN,4219,58.35,11.416492,se,599147695126347775
747,BROFJORDEN,4219,58.35,11.416492,se,599147674725253119
748,BROFJORDEN,4219,58.35,11.416492,se,599147689757638655
749,BROFJORDEN,4219,58.35,11.416492,se,599131897162891263
123,BÅLSTA,4949,59.5833,17.504,se,599128698485997567
738,BÅLSTA,4949,59.5833,17.504,se,599128700633481215
739,BÅLSTA,4949,59.5833,17.504,se,599128712444641279
740,BÅLSTA,4949,59.5833,17.504,se,599128702780964863
741,BÅLSTA,4949,59.5833,17.504,se,599128742509412351
742,BÅLSTA,4949,59.5833,17.504,se,599128697412255743
743,BÅLSTA,4949,59.5833,17.504,se,599128710297157631
125,DEGERHAMN,9557327,56.3501248,16.4168,se,599526980467032063
750,DEGERHAMN,9557327,56.3501248,16.4168,se,599526872019107839
751,DEGERHAMN,9557327,56.3501248,16.4168,se,599526948254777343
752,DEGERHAMN,9557327,56.3501248,16.4168,se,599526984761999359
753,DEGERHAMN,9557327,56.3501248,16.4168,se,599526978319548415
754,DEGERHAMN,9557327,56.3501248,16.4168,se,599526981540773887
755,DEGERHAMN,9557327,56.3501248,16.4168,se,599526867724140543
148,Eckerö,747712,60.229,19.5421,fi,599128532056014847
888,Eckerö,747712,60.229,19.5421,fi,599128314086424575
889,Eckerö,747712,60.229,19.5421,fi,599128548162142207
890,Eckerö,747712,60.229,19.5421,fi,599128311938940927
891,Eckerö,747712,60.229,19.5421,fi,599128529908531199
892,Eckerö,747712,60.229,19.5421,fi,599128527761047551
893,Eckerö,747712,60.229,19.5421,fi,599128525613563903
11,FALKENBERG,8241721,56.916,12.499,se,599526383466577919
66,FALKENBERG,8241721,56.916,12.499,se,599526431784959999
67,FALKENBERG,8241721,56.916,12.499,se,599526399572705279
68,FALKENBERG,8241721,56.916,12.499,se,599526429637476351
69,FALKENBERG,8241721,56.916,12.499,se,599526381319094271
70,FALKENBERG,8241721,56.916,12.499,se,599526379171610623
71,FALKENBERG,8241721,56.916,12.499,se,599526377024126975
12,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526591772491775
72,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526593919975423
73,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526598214942719
74,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526596067459071
75,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526597141200895
76,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526592846233599
77,FREDRIKSHAMN,897421,57.433299,10.530099,dk,599526594993717247
149,FÖRBY,9393214,60.101,22.8534,fi,599130303730024447
894,FÖRBY,9393214,60.101,22.8534,fi,599130310172475391
895,FÖRBY,9393214,60.101,22.8534,fi,599130306951249919
896,FÖRBY,9393214,60.101,22.8534,fi,599130308024991743
897,FÖRBY,9393214,60.101,22.8534,fi,599130309098733567
898,FÖRBY,9393214,60.101,22.8534,fi,599130305877508095
899,FÖRBY,9393214,60.101,22.8534,fi,599130304803766271
13,GDANSK,785329,54.36023,18.64912,pl,599524775001325567
78,GDANSK,785329,54.36023,18.64912,pl,599524776075067391
79,GDANSK,785329,54.36023,18.64912,pl,599524777148809215
80,GDANSK,785329,54.36023,18.64912,pl,599531962629095423
81,GDANSK,785329,54.36023,18.64912,pl,599531963702837247
82,GDANSK,785329,54.36023,18.64912,pl,599524763190165503
83,GDANSK,785329,54.36023,18.64912,pl,599524770706358271
14,GDYNIA,12641287,54.5343,18.5459,pl,599531960481611775
84,GDYNIA,12641287,54.5343,18.5459,pl,599531966924062719
85,GDYNIA,12641287,54.5343,18.5459,pl,599531963702837247
86,GDYNIA,12641287,54.5343,18.5459,pl,599531964776579071
87,GDYNIA,12641287,54.5343,18.5459,pl,599531965850320895
88,GDYNIA,12641287,54.5343,18.5459,pl,599531962629095423
89,GDYNIA,12641287,54.5343,18.5459,pl,599531961555353599
15,GRENÅ,987352,56.416794,10.93124,dk,599526334074454015
90,GRENÅ,987352,56.416794,10.93124,dk,599526336221937663
91,GRENÅ,987352,56.416794,10.93124,dk,599526340516904959
92,GRENÅ,987352,56.416794,10.93124,dk,599526338369421311
93,GRENÅ,987352,56.416794,10.93124,dk,599526339443163135
94,GRENÅ,987352,56.416794,10.93124,dk,599526335148195839
95,GRENÅ,987352,56.416794,10.93124,dk,599526337295679487
134,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128315160166399
804,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128316233908223
805,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128317307650047
806,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128287242878975
807,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128288316620799
808,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128303349006335
809,GRISSLEHAMN,856529,60.110847,18.8167471,se,599128310865199103
16,GRUVÖN,32876239647,59.33213,13.1166069,se,599131932596371455
96,GRUVÖN,32876239647,59.33213,13.1166069,se,599131972324818943
97,GRUVÖN,32876239647,59.33213,13.1166069,se,599131931522629631
98,GRUVÖN,32876239647,59.33213,13.1166069,se,599131964808626175
99,GRUVÖN,32876239647,59.33213,13.1166069,se,599131976619786239
100,GRUVÖN,32876239647,59.33213,13.1166069,se,599131928301404159
101,GRUVÖN,32876239647,59.33213,13.1166069,se,599131927227662335
17,GÄVLE,742938,60.683293,17.183295,se,599128651241357311
102,GÄVLE,742938,60.683293,17.183295,se,599128630840262655
103,GÄVLE,742938,60.683293,17.183295,se,599128650167615487
104,GÄVLE,742938,60.683293,17.183295,se,599128683453612031
