id,port,score
111,KIEL,5039.464892292901
wfp.17356,Lavrion (Laurium),3868.7927177998104
wfp.15678,Canakkale,2728.242495382992
wfp.16617,Sariyer,2360.979526095959
32140,HÖGANÄS,1978.6151280439003
350,SIMRISHAMN,1765.6085367383196
747712,Eckerö,1744.172232794682
wfp.15524,Otranto,1605.8045477992848
wfp.17236,Rhodes,1447.9271393281442
wfp.16448,Maltepe,1382.7025052472673
8092,TROLLHÄTTAN,1350.0059786591692
782598,TRELLEBORG,1232.9391346101095
wfp.17092,Buyukcekmece,1201.2122307893956
8241721,FALKENBERG,1187.303008897786
wfp.15217,Iskenderun,1076.1516853658234
wfp.17486,Sarkoy,973.1108283452055
856529,GRISSLEHAMN,873.8606829613975
wfp.14907,Novorossiysk,866.3602235999912
wfp.16868,Ilyichevsk,753.7634327759793
wfp.16226,Haifa,726.5816801438846
wfp.16140,Beykoz,719.6782059606207
wfp.14333,Syros (Syra),680.2041203415106
wfp.14569,Akrotiri,638.9843844576866
89,RAUMA,633.1797743196755
2321,Agnesberg,632.8728116623125
987352,GRENÅ,578.239320640151
8214872,UST-LUGA,571.6087123720237
211239847,STENUNGSUND,549.033630368046
wfp.14760,Kerch,484.3935719109396
87213,HELSINGBORG,469.66274970670844
wfp.16076,Paphos,460.5784891064016
wfp.16270,Alexandria,455.441876704328
wfp.14848,Patmos,451.2545040988988
wfp.17151,Ambarli,429.0528946708124
wfp.15432,Ashdod,420.30980463683653
190,SAINT PETERSBURG,416.3365385474575
wfp.16019,Ej Jiye,400.8235845799284
9557327,DEGERHAMN,390.34602253508695
24325,TALLIN,389.4225058891518
wfp.17401,Yuzhnyy,374.8177521980847
wfp.16890,Mersin,337.67866893607555
587,SÖRÅKER,327.17028351338644
213497901,LOVIISA,311.5254639852798
28,HUSUM,301.8491119250482
4305,KÖPENHAMN,297.10287703131314
848,SKUTSKÄR,288.6936943159408
89742,HANKO/HANGÖ,287.33999953477706
wfp.14332,Eleusis,279.06282464706516
94,LYSEKIL,277.78473363708684
wfp.14402,Foca,276.51694360749207
938412,SUNDSVALL,264.9913050504221
wfp.14575,Basarabi,263.9345075850982
wfp.17638,Idhra (Hydra),260.7986525738788
wfp.15588,Bar,258.25008316422515
wfp.16913,Mytilene,255.37466096551893
wfp.15644,Ayancik,249.12376435054543
40421948,STRÖMSTAD,245.0205329393825
953,NYNÄSHAMN,244.87390230906828
43827439,TORNIO,243.09543601216583
wfp.17055,Bandirmar,239.51729139596785
wfp.14761,Reni,234.49614319100252
104,KOVERHAR,233.73204295146425
wfp.16608,Burgas,233.6896880896881
wfp.17472,Kalimnos Island,232.27964232600536
9447,KLINTEHAMN,228.91785714285712
4004,MARIESTAD,228.0
32876239647,GRUVÖN,228.0
wfp.17639,Achladi,228.0
wfp.16457,Kas,223.13157630715946
wfp.15807,Limassol,220.22360340893775
wfp.17550,Ain El Mraisse _El Jisr,218.2408398595009
88,VISBY,213.34728814365315
9949,Parainen,211.062833786114
wfp.17307,Yali Island,209.3363655474548
645,MUUGA,204.94423719135693
wfp.15695,Inebolu,197.09515575894912
553,SKÖLDVIK,192.8590842194618
wfp.15505,Varna,191.73830965224647
wfp.17338,Kymi (Kimi),191.01016504585132
wfp.15978,Abu Qir,190.83825533819825
wfp.16216,Tekirdag,189.9588342194755
wfp.15715,Hadera,179.5693397185379
1274,PALDISKI,163.30066968886976
9492214,MÖNSTERÅS,155.3045466915044
wfp.15456,Tasucu,146.1117372045765
6312,LANDSKRONA,145.9324826451331
wfp.15692,Ayvalik,132.26529556744492
wfp.17558,Bartin,129.35363543926422
wfp.16047,Amorgos,127.306978079211
wfp.14960,Samsun,121.09082596946651
4299,SÖDERTÄLJE,118.82637305999103
8928379,UUSIKAUPUNKI/NYSTAD,110.78230778715812
wfp.16192,Amasra,109.36996019419443
wfp.16882,Izmail,107.90385913716219
wfp.14975,Gelibolu,98.55523558961501
130593,YSTAD,96.49162709168031
994,OXELÖSUND,94.2284977500285
82,HOLMSUND,92.65825635575139
9421815,MUSSALO,86.242154006245
7324723,STORUGNS,76.66506378516387
403,OSLO,74.71369804304373
8412,KANTVIK,71.77072065019848
985,STOCKHOLM,70.85490932483714
wfp.15023,Constanta,69.89518365502491
wfp.16464,Zonguldak,69.70991056059282
wfp.14938,Tuapse,64.03257878342347
45647,PRIMORSK,59.269914656730684
12,HELSINKI/HELSINGFORS,58.952236696318344
897421,FREDRIKSHAMN,57.72708584972096
wfp.15955,Mudanya,57.260941214476055
9217,LÄNSI,55.020508173656786
wfp.15674,Tuzla,52.596070944380635
42326,RONEHAMN,52.28314947191986
wfp.15956,Karabiga,51.98328760564057
91013,NAANTALI/NÅDENDAL,46.228670095745294
8312,SÖLVESBORG,44.02622698682869
wfp.17093,Batumi,43.08427054200523
98120,KAPELLSKÄR,40.527673709851285
wfp.14762,Mariupol,37.93126407783499
743,VARBERG,37.84391184927986
2140,OULU,37.14957238447346
wfp.16287,Nea Karvali,36.92323196493747
90433,VÄSTERÅS,36.49681878938315
81274125,LOKSA,35.69519179130065
492,SLITE,35.57353443041644
9112,TAALINTEHDAS,35.13807585618464
19,HÄRNÖSAND,34.48824610679357
wfp.16537,Naxos,34.02239321481056
wfp.14757,Odessa,33.03138385995649
wfp.16048,Kos,32.365205078404934
wfp.17094,Poti,31.220417200593875
34679,KUNDA,30.43864646679388
wfp.16974,Yumurtalik Bay,30.341219101450385
wfp.14959,Derince,28.93863223069388
wfp.14337,Sulina (Port Et Zone Franche),27.742675834701693
3280995,RAAHE,26.757758962823903
wfp.17523,Ceyhan,26.14060986048669
932,MALMÖ,25.616443362667084
12812,SÖDERHAMN,25.083693603226205
1416,NORRKÖPING,24.73427471570922
4219,BROFJORDEN,23.53117133003757
wfp.14440,Thira,23.272163595269284
wfp.15896,Cide,22.269512981858185
95772812,STRÅ,22.231253022725255
423,KASKINEN,21.435081714038372
62,HUDIKSVALL,19.837700022757502
wfp.15767,Skiathos,18.00386001115951
wfp.16857,Oktyabrsk,16.374463884097125
591,KEMI,16.372242666548367
839,KARLSHAMN,16.344326487048722
4325,LÅNGNÄS,15.159802465420952
wfp.15019,El Aabde,15.113093958728163
9238,BERGKVARA,14.59415135487213
7464,VENTSPILS,14.29279230491863
wfp.17332,Supsa,14.265109458247203
939929,ÖRNSKÖLDSVIK,13.903343878343877
532,KARLSKRONA,13.873450898727791
wfp.14964,Cesme,13.818236221599209
55,KÖGE,13.80522029485709
924,INKOO,12.860276561942639
wfp.17108,Gocek,12.103401671594263
231,KOKKOLA,10.545167587607176
987124,HALMSTAD,9.604667618786758
wfp.17321,Agio Theodoroi,8.978933152148471
91321,HELSINGÖR,8.884004401727756
1945,SKELLEFTEHAMN,8.492039340841131
wfp.17201,Vassiliko,8.208352815147617
wfp.15773,Parga,8.063275338103713
wfp.17149,Latchi,4.5355921855921855
4949,BÅLSTA,4.4502976190476184
49490,LULEÅ,4.445861158980553
8475,PORI/MÄNTYLUOTO,4.224047975161874
10560147,HARGSHAMN,4.073417541360317
wfp.15144,Mangalia,3.8644007028659297
wfp.17383,Akdeniz,3.76438876846225
9593,NORRSUNDET,3.2838262171542976
9393214,FÖRBY,3.2051282051282053
wfp.14973,Aliaga,3.081313131313131
14928,VYSOTSKI,2.9190619355226732
wfp.15457,Bodrum,2.704686816451522
989,KÖPING,2.6569436459101814
93482,SILLAMÄE,2.4565031446196275
984721,HARAHOLMEN,2.43269876513091
9327575,VYBORG,2.29620126196658
wfp.15436,Izmir,2.2890457971208162
wfp.14476,Gulluk,1.9422149122807018
wfp.14758,Kherson,1.6241426273220372
398,LÖDÖSE,1.3456203450265247
wfp.14759,Yalta,1.3449291455436727
wfp.15189,Finike,1.2663428917698367
wfp.16454,Eregli,1.2000000000000002
4210,ÖREGRUND,1.1721611721611722
1249,KALMAR,1.1240542288897537
wfp.17532,El Dekheila,1.0899473748309392
wfp.15138,Anamur,0.9860547314134772
wfp.15275,Thasos,0.6666666666666666
1049,VAASA,0.2988746618542015
wfp.16923,Aamshite,0.0
wfp.14866,Braila,0.0
12,OSKARSHAMN,0.0
wfp.17455,Diliskelesi,0.0
wfp.17402,Nikolayev,0.0
wfp.17202,Dhekelia,0.0
wfp.16242,Tel Aviv,0.0
wfp.16210,Trabzon,0.0
321441,KRAMFORS,0.0
wfp.15585,Itea,0.0
wfp.16705,Dikili,0.0
352995,VÄSTERVIK,0.0
3+24442,PIETARSAARI,0.0
wfp.16463,Kusadasi,0.0
99,MARIEHAMN,0.0
wfp.15237,Batroun,0.0
wfp.15779,Keramoti,0.0
wfp.16467,Marmaris,0.0
4215,UDDEVALLA,0.0
8128,HÖNSÄTER,0.0
40042,LIDKÖPING,0.0
wfp.15964,Fethiye,0.0
89412,ÅHUS,0.0
wfp.14905,Erdek,0.0
wfp.14392,Kalecik,0.0
94486,SKOGHALL,0.0
879421,HAMINA,0.0
224,OTTERBÄCKEN,0.0
wfp.16296,Skopelos,0.0
wfp.16880,Sevastopol,0.0
74829,KALAJOKI,0.0
wfp.17357,Belgorod-Dnestrovskiy,0.0
wfp.14656,Limni,0.0
wfp.16428,Samos,0.0
wfp.16914,Ashkelon,0.0
wfp.14629,Sitia,0.0
75684,Lappeenranta,0.0
wfp.14577,Michurin,0.0
21414,KRISTINEHAMN,0.0
wfp.15957,Sinop,0.0
wfp.17592,Saida,0.0
wfp.16169,Famagusta,0.0
4620,RUNDVIK,0.0
21,IGGESUND,0.0
958123,STOCKA,0.0
wfp.16881,Berdyansk,0.0
wfp.16361,Corinth,0.0
93251,ÅMÅL,0.0
wfp.15965,Rize,0.0
wfp.14666,En Naqoura,0.0
wfp.17747,Istanbul,0.0
wfp.14963,Fatsa,0.0
wfp.14664,Hopa,0.0
wfp.16883,Evpatoria,0.0
wfp.14686,Zelenika,0.0
wfp.14383,Sidi Kerir,0.0
wfp.15463,Ordu,0.0
wfp.17352,Ust Dunaysk,0.0
wfp.15863,Medgidia,0.0
wfp.15198,Gorele,0.0
4559,KARLSBORG,0.0
wfp.17304,Gemikonagi,0.0
wfp.14730,Cheikh Zennad,0.0
wfp.16209,Giresun,0.0
