id,port,spread
350,SIMRISHAMN,94.41
wfp.17236,Rhodes,2.799999999999997
111,KIEL,1.460000000000008
wfp.17558,Bartin,1.3499999999999943
87213,HELSINGBORG,1.3299999999999983
wfp.17592,Saida,1.2800000000000011
wfp.16169,Famagusta,1.1899999999999977
32876239647,GRUVÖN,1.1800000000000068
19,HÄRNÖSAND,1.1699999999999875
wfp.16287,Nea Karvali,1.1099999999999852
wfp.15198,Gorele,1.0799999999999983
989,KÖPING,1.0600000000000023
wfp.14938,Tuapse,1.0600000000000023
wfp.14905,Erdek,1.0599999999999739
wfp.15957,Sinop,1.049999999999983
wfp.15588,Bar,1.0400000000000205
4004,MARIESTAD,1.039999999999992
wfp.15456,Tasucu,1.0200000000000102
wfp.15863,Medgidia,1.0199999999999818
wfp.14757,Odessa,1.009999999999991
99,MARIEHAMN,1.009999999999991
2140,OULU,1.0
wfp.15237,Batroun,1.0
wfp.15965,Rize,1.0
wfp.16361,Corinth,1.0
12,OSKARSHAMN,1.0
352995,VÄSTERVIK,1.0
wfp.17304,Gemikonagi,1.0
wfp.17747,Istanbul,1.0
21,IGGESUND,1.0
wfp.16883,Evpatoria,1.0
wfp.14664,Hopa,1.0
wfp.17357,Belgorod-Dnestrovskiy,1.0
21414,KRISTINEHAMN,1.0
wfp.14629,Sitia,1.0
wfp.14963,Fatsa,1.0
wfp.15463,Ordu,1.0
wfp.16209,Giresun,1.0
wfp.17455,Diliskelesi,1.0
74829,KALAJOKI,1.0
75684,Lappeenranta,1.0
wfp.14730,Cheikh Zennad,1.0
wfp.16914,Ashkelon,1.0
wfp.17352,Ust Dunaysk,1.0
wfp.16705,Dikili,1.0
93251,ÅMÅL,1.0
wfp.16463,Kusadasi,1.0
wfp.16467,Marmaris,1.0
wfp.14383,Sidi Kerir,1.0
wfp.17093,Batumi,0.9900000000000091
wfp.15505,Varna,0.9800000000000182
958123,STOCKA,0.9800000000000182
4620,RUNDVIK,0.9599999999999795
8128,HÖNSÄTER,0.950000000000017
wfp.15585,Itea,0.9400000000000261
wfp.17639,Achladi,0.9399999999999977
wfp.17108,Gocek,0.9300000000000068
4559,KARLSBORG,0.9300000000000068
wfp.16076,Paphos,0.9300000000000068
wfp.16923,Aamshite,0.9200000000000159
wfp.16210,Trabzon,0.9199999999999875
4215,UDDEVALLA,0.9199999999999875
wfp.14577,Michurin,0.9199999999999591
wfp.16880,Sevastopol,0.910000000000025
wfp.14666,En Naqoura,0.9099999999999966
94486,SKOGHALL,0.9000000000000057
6312,LANDSKRONA,0.9000000000000057
wfp.14656,Limni,0.9000000000000057
224,OTTERBÄCKEN,0.8899999999999864
wfp.16428,Samos,0.8899999999999864
wfp.16881,Berdyansk,0.8799999999999955
wfp.14759,Yalta,0.8799999999999955
40042,LIDKÖPING,0.8700000000000045
3+24442,PIETARSAARI,0.8700000000000045
10560147,HARGSHAMN,0.8700000000000045
wfp.17307,Yali Island,0.8599999999999994
wfp.15189,Finike,0.8599999999999852
wfp.17094,Poti,0.8599999999999852
4210,ÖREGRUND,0.8499999999999943
91013,NAANTALI/NÅDENDAL,0.8400000000000034
398,LÖDÖSE,0.8400000000000034
wfp.15692,Ayvalik,0.8400000000000034
wfp.15644,Ayancik,0.839999999999975
wfp.16608,Burgas,0.8199999999999932
wfp.15956,Karabiga,0.8199999999999932
wfp.16296,Skopelos,0.8199999999999932
89412,ÅHUS,0.8100000000000023
4325,LÅNGNÄS,0.8100000000000023
wfp.14392,Kalecik,0.8100000000000023
wfp.17149,Latchi,0.799999999999983
wfp.15773,Parga,0.7900000000000205
98120,KAPELLSKÄR,0.7900000000000205
747712,Eckerö,0.7900000000000063
wfp.16974,Yumurtalik Bay,0.789999999999992
wfp.17402,Nikolayev,0.7800000000000011
879421,HAMINA,0.7800000000000011
wfp.15896,Cide,0.7800000000000011
wfp.14686,Zelenika,0.7800000000000011
wfp.15019,El Aabde,0.7700000000000102
wfp.15138,Anamur,0.7600000000000193
321441,KRAMFORS,0.7600000000000193
wfp.15275,Thasos,0.7599999999999909
wfp.16242,Tel Aviv,0.7599999999999909
wfp.17383,Akdeniz,0.7400000000000091
9593,NORRSUNDET,0.7400000000000091
wfp.17532,El Dekheila,0.7400000000000091
9217,LÄNSI,0.7399999999999949
49490,LULEÅ,0.7399999999999807
wfp.14866,Braila,0.7300000000000182
wfp.16454,Eregli,0.7300000000000182
wfp.14337,Sulina (Port Et Zone Franche),0.710000000000008
231,KOKKOLA,0.710000000000008
939929,ÖRNSKÖLDSVIK,0.710000000000008
wfp.14973,Aliaga,0.7099999999999795
wfp.17550,Ain El Mraisse _El Jisr,0.7099999999999795
wfp.17201,Vassiliko,0.700000000000017
wfp.15779,Keramoti,0.700000000000017
1049,VAASA,0.700000000000017
8092,TROLLHÄTTAN,0.700000000000017
wfp.16537,Naxos,0.6899999999999977
93482,SILLAMÄE,0.6800000000000068
9112,TAALINTEHDAS,0.6800000000000068
9393214,FÖRBY,0.6800000000000068
wfp.17202,Dhekelia,0.6800000000000068
55,KÖGE,0.6700000000000159
wfp.14476,Gulluk,0.6700000000000159
8475,PORI/MÄNTYLUOTO,0.6699999999999875
1945,SKELLEFTEHAMN,0.6699999999999875
wfp.15978,Abu Qir,0.6699999999999875
984721,HARAHOLMEN,0.6699999999999875
wfp.15436,Izmir,0.6500000000000057
532,KARLSKRONA,0.6500000000000057
