id,port,country,score
wfp.16448,Maltepe,tr,8.485071907146281
4305,KÖPENHAMN,dk,8.126748599680253
782598,TRELLEBORG,se,6.783457689655491
350,SIMRISHAMN,se,6.0933661212444825
32140,HÖGANÄS,se,6.01619620015136
111,KIEL,de,4.986522263042179
6312,LANDSKRONA,se,4.49509445484725
wfp.16140,Beykoz,tr,4.237612320111587
wfp.17356,Lavrion (Laurium),gr,4.235442437202048
747712,Eckerö,fi,3.793150378475272
87213,HELSINGBORG,se,3.7883341371291968
wfp.17151,Ambarli,tr,3.5311324442610266
wfp.14332,Eleusis,gr,3.5246943355617084
wfp.16617,Sariyer,tr,3.1699335572131857
wfp.15678,Canakkale,tr,2.94242653571047
8241721,FALKENBERG,se,2.8134730799007763
wfp.16868,Ilyichevsk,ua,2.7156408016050193
wfp.14569,Akrotiri,UNKNOWN,2.5337752420615423
wfp.14402,Foca,tr,2.4818477958582648
wfp.17092,Buyukcekmece,tr,2.2332840292947775
wfp.14575,Basarabi,ro,2.0121763543094344
wfp.17486,Sarkoy,tr,1.9905002739274502
wfp.16270,Alexandria,eg,1.9549366934644143
wfp.14975,Gelibolu,tr,1.9534946970187999
wfp.17401,Yuzhnyy,ua,1.9081270977467242
wfp.15978,Abu Qir,eg,1.828346643867284
wfp.17236,Rhodes,gr,1.7984093654956665
130593,YSTAD,se,1.7857441203709972
wfp.14333,Syros (Syra),gr,1.7541179634099122
wfp.14761,Reni,ua,1.703371564484639
4949,BÅLSTA,se,1.6838007457165134
9421815,MUSSALO,fi,1.6660353548409752
985,STOCKHOLM,se,1.5741656770528647
9557327,DEGERHAMN,se,1.5693208728506258
24325,TALLIN,ee,1.4884312902776513
wfp.14760,Kerch,ua,1.4813639563120524
987352,GRENÅ,dk,1.4548732551799275
213497901,LOVIISA,fi,1.449040943280524
8092,TROLLHÄTTAN,se,1.428695546633785
wfp.17307,Yali Island,gr,1.3981127572311949
743,VARBERG,se,1.3780057756826873
wfp.14848,Patmos,gr,1.3730167932022073
9217,LÄNSI,no,1.371617096559791
wfp.17472,Kalimnos Island,gr,1.3596682697585363
994,OXELÖSUND,se,1.3099144073525832
2321,Agnesberg,se,1.285112940115073
wfp.14866,Braila,ro,1.2607438765680277
wfp.15023,Constanta,ro,1.251471297780117
wfp.16076,Paphos,cy,1.244285778526343
wfp.17638,Idhra (Hydra),gr,1.2245139710166217
89742,HANKO/HANGÖ,fi,1.2115290751060732
1416,NORRKÖPING,se,1.205246552896347
wfp.16890,Mersin,tr,1.1905965698484544
wfp.16226,Haifa,il,1.1779364265909735
wfp.16464,Zonguldak,tr,1.1481301903525267
wfp.16537,Naxos,gr,1.1464038727064159
wfp.14762,Mariupol,ua,1.142259250555741
wfp.15807,Limassol,cy,1.1295571817246672
953,NYNÄSHAMN,se,1.127442812456273
1274,PALDISKI,ee,1.1089072399692512
403,OSLO,no,1.0860313921207674
4299,SÖDERTÄLJE,se,1.079614934077057
wfp.16192,Amasra,tr,1.0693659157530995
856529,GRISSLEHAMN,se,1.065290020628949
wfp.15217,Iskenderun,tr,1.0464859157236739
wfp.16210,Trabzon,tr,0.9999994772616189
wfp.14392,Kalecik,cy,0.9999994772616189
wfp.16169,Famagusta,cy,0.9999994772616189
wfp.15198,Gorele,tr,0.9999994772616189
wfp.17523,Ceyhan,tr,0.9874757339201482
45647,PRIMORSK,ru,0.9740775738832492
9327575,VYBORG,ru,0.9605790175761023
190,SAINT PETERSBURG,ru,0.9348155136032438
wfp.16454,Eregli,tr,0.9338846413567189
43827439,TORNIO,fi,0.9309105701971863
wfp.15588,Bar,me,0.9229687008462292
wfp.17201,Vassiliko,cy,0.9097521431746349
wfp.17558,Bartin,tr,0.8968049853969275
wfp.14973,Aliaga,tr,0.8778737912450223
42326,RONEHAMN,se,0.8761210812446867
88,VISBY,se,0.8708012119319773
848,SKUTSKÄR,se,0.8536986319515063
938412,SUNDSVALL,se,0.8362819751062477
wfp.16913,Mytilene,gr,0.8312869159992075
90433,VÄSTERÅS,se,0.8238373172642585
wfp.15863,Medgidia,ro,0.8234805307897447
wfp.15524,Otranto,it,0.8193627429844431
wfp.17338,Kymi (Kimi),gr,0.8136481583244545
wfp.16019,Ej Jiye,lb,0.8050897851096083
587,SÖRÅKER,se,0.7921345624699776
9112,TAALINTEHDAS,fi,0.7763464757981933
897421,FREDRIKSHAMN,dk,0.7691554708931283
wfp.14757,Odessa,ua,0.7600726555732252
94,LYSEKIL,se,0.751144427971688
wfp.16974,Yumurtalik Bay,tr,0.7465668386937678
wfp.16457,Kas,tr,0.7358963947181477
wfp.16287,Nea Karvali,gr,0.7311492088347427
645,MUUGA,ee,0.7282372143557105
wfp.14686,Zelenika,me,0.7253171046982048
wfp.15779,Keramoti,gr,0.7247228416630641
8312,SÖLVESBORG,se,0.7172309720058487
wfp.16857,Oktyabrsk,ua,0.7160577938135237
32876239647,GRUVÖN,se,0.7156071595401582
wfp.16047,Amorgos,gr,0.7108368417024284
8412,KANTVIK,fi,0.6986758714896268
932,MALMÖ,se,0.6975452882835399
wfp.17402,Nikolayev,ua,0.6857557593552545
591,KEMI,fi,0.670986322087811
492,SLITE,se,0.6684781567036302
104,KOVERHAR,fi,0.665219583263096
9492214,MÖNSTERÅS,se,0.6637415151821264
wfp.15432,Ashdod,il,0.659513568427972
wfp.14440,Thira,gr,0.6557660564991596
wfp.16882,Izmail,ua,0.6555334753305004
wfp.15436,Izmir,tr,0.6532896534605891
99,MARIEHAMN,fi,0.6502921985963073
wfp.15456,Tasucu,tr,0.6286979015930193
4325,LÅNGNÄS,fi,0.6099327600976601
28,HUSUM,se,0.6097400313682381
wfp.17592,Saida,lb,0.606009055103728
8214872,UST-LUGA,ru,0.6016837007320843
89,RAUMA,fi,0.5997881426950611
924,INKOO,fi,0.594745219026917
wfp.15144,Mangalia,ro,0.5823952458788934
8128,HÖNSÄTER,se,0.559878184781769
wfp.16048,Kos,gr,0.5572607660703753
9238,BERGKVARA,se,0.550222324616417
9949,Parainen,fi,0.547628292919388
211239847,STENUNGSUND,se,0.5411191121255019
wfp.17550,Ain El Mraisse _El Jisr,lb,0.5357458329362508
wfp.15715,Hadera,il,0.5356600674537089
839,KARLSHAMN,se,0.5326645486372696
95772812,STRÅ,se,0.5258985497289879
wfp.14964,Cesme,tr,0.5228575224672732
wfp.15692,Ayvalik,tr,0.5220906410100462
81274125,LOKSA,ee,0.5187384817111415
