code,country,score
se,Sweden,4.1734902865967305
tr,Turkey,3.9472079835126643
gr,Greece,1.3581116221470046
ua,Ukraine,1.0443664405556734
ro,Romania,1.0311041073161555
me,Montenegro,0.9999994772616189
dk,Denmark,0.9935920559092949
lb,Lebanon,0.8811156359302976
eg,Egypt,0.8378011995081142
fi,Finland,0.8249276286870054
il,Israel,0.6496845400705368
no,Norway,0.5642329914539077
ee,Estonia,0.5401928222212199
cy,Cyprus,0.5350619134150089
de,Germany,0.44954931398356074
ge,Georgia,0.298776462708781
ru,Russian Federation,0.2741563697324012
bg,Bulgaria,0.24165168379488985
lv,Latvia,0.19210003404106873
it,Italy,0.16285232470568964
UNKNOWN,,0.15000000000000002
