id,port,score
wfp.17356,Lavrion (Laurium),5698.127048455019
111,KIEL,4627.47804200925
987352,GRENÅ,3913.3509526446946
350,SIMRISHAMN,3057.894261958734
wfp.16140,Beykoz,2708.384176202668
wfp.17151,Ambarli,2077.486944774149
wfp.14569,Akrotiri,1708.7203458879105
wfp.17236,Rhodes,1641.0119320767526
782598,TRELLEBORG,1639.702811203699
wfp.14332,Eleusis,1512.14266524436
wfp.14848,Patmos,1327.5208825385066
wfp.15678,Canakkale,1318.0115035373092
747712,Eckerö,1286.6096310777552
wfp.16923,Aamshite,1206.0
2321,Agnesberg,1074.1540009280484
4305,KÖPENHAMN,1021.9385324077833
wfp.14440,Thira,981.6429718919846
wfp.15217,Iskenderun,943.9560841804501
wfp.14402,Foca,909.8875677239216
wfp.17092,Buyukcekmece,900.4532537299997
wfp.14964,Cesme,853.2569879966109
wfp.16448,Maltepe,828.7783481026189
45647,PRIMORSK,773.8194022812114
wfp.16890,Mersin,766.9936622783214
wfp.16617,Sariyer,754.9652130384351
32140,HÖGANÄS,738.1871515409565
wfp.16226,Haifa,717.3500732946617
wfp.14762,Mariupol,711.3177340726262
8092,TROLLHÄTTAN,634.0459043166624
9421815,MUSSALO,631.7043412362137
213497901,LOVIISA,625.009979612445
wfp.14973,Aliaga,624.5561279132572
88,VISBY,587.6520027590313
wfp.14960,Samsun,563.8706053769367
wfp.16537,Naxos,560.6827541985746
7464,VENTSPILS,560.4525798098097
wfp.14337,Sulina (Port Et Zone Franche),520.5289580776309
wfp.17202,Dhekelia,506.4685258154298
856529,GRISSLEHAMN,497.0412841362098
wfp.17550,Ain El Mraisse _El Jisr,486.0
14928,VYSOTSKI,486.0
190,SAINT PETERSBURG,479.5790254915125
wfp.14757,Odessa,464.73901629133724
wfp.17486,Sarkoy,458.76829783219614
wfp.17455,Diliskelesi,451.29980731761793
9557327,DEGERHAMN,449.56216375729906
8241721,FALKENBERG,436.57406186679447
wfp.16270,Alexandria,391.575093328165
wfp.14907,Novorossiysk,389.72189457621465
wfp.17321,Agio Theodoroi,362.06285171014093
wfp.17532,El Dekheila,344.1980259230827
wfp.15524,Otranto,341.64335423430254
wfp.17639,Achladi,335.06123910848186
953,NYNÄSHAMN,317.9713025174989
87213,HELSINGBORG,315.0157374779606
130593,YSTAD,312.14822614536985
994,OXELÖSUND,303.6475058096675
wfp.17472,Kalimnos Island,301.2372123216797
wfp.14575,Basarabi,296.754773896915
91013,NAANTALI/NÅDENDAL,285.1049582882339
553,SKÖLDVIK,281.85512101793364
12812,SÖDERHAMN,275.30099354245414
211239847,STENUNGSUND,274.19372387717453
wfp.16882,Izmail,269.9992910939891
28,HUSUM,266.6910144498176
848,SKUTSKÄR,256.3284401931402
wfp.16868,Ilyichevsk,255.386842058702
wfp.15144,Mangalia,255.25609798817587
wfp.17093,Batumi,254.04662608067662
89742,HANKO/HANGÖ,252.96867939527667
wfp.15674,Tuzla,247.0587767821234
wfp.17055,Bandirmar,245.37499999999997
wfp.15237,Batroun,244.0
9327575,VYBORG,244.0
wfp.16169,Famagusta,244.0
wfp.16019,Ej Jiye,244.0
wfp.15275,Thasos,243.8
398,LÖDÖSE,235.27911551990076
645,MUUGA,233.70511145000205
wfp.16457,Kas,222.73884928285904
94486,SKOGHALL,219.70418774685302
wfp.16242,Tel Aviv,218.16598668378867
wfp.14333,Syros (Syra),209.97075022761842
1274,PALDISKI,203.27027318315874
897421,FREDRIKSHAMN,199.84797647376752
104,KOVERHAR,195.6497036200544
wfp.15432,Ashdod,191.73035527761152
wfp.15644,Ayancik,179.25039898717657
wfp.17201,Vassiliko,172.5869372124679
wfp.15978,Abu Qir,162.69567238063763
1416,NORRKÖPING,158.45952043205213
wfp.16047,Amorgos,157.13116964709099
231,KOKKOLA,155.53159991946987
wfp.17307,Yali Island,153.21290869098712
wfp.17638,Idhra (Hydra),149.40689275616495
wfp.15957,Sinop,145.1228958770552
wfp.15436,Izmir,143.1690307481722
21414,KRISTINEHAMN,141.4626022253136
wfp.16608,Burgas,138.65074578954855
4219,BROFJORDEN,133.68644374325046
wfp.15807,Limassol,133.0086647325645
wfp.16216,Tekirdag,130.06384713322555
wfp.16454,Eregli,122.42785719214957
9492214,MÖNSTERÅS,119.93419402927563
224,OTTERBÄCKEN,116.12706217284509
wfp.15955,Mudanya,109.16081705627057
wfp.15189,Finike,106.46983543365458
42326,RONEHAMN,104.90826078655128
492,SLITE,102.89056683225827
81274125,LOKSA,102.4890157900993
wfp.16048,Kos,101.64190778748822
95772812,STRÅ,97.57036543598367
4299,SÖDERTÄLJE,93.0754365017441
wfp.15505,Varna,88.51458552832365
938412,SUNDSVALL,88.41308436128058
12,HELSINKI/HELSINGFORS,87.91768232467541
8214872,UST-LUGA,86.13315622121047
wfp.14959,Derince,84.57948431229845
wfp.15695,Inebolu,71.83132604700812
24325,TALLIN,69.34454270029362
wfp.15767,Skiathos,68.04855050053966
985,STOCKHOLM,67.14633467441624
wfp.15715,Hadera,65.31519228285745
wfp.14975,Gelibolu,61.58650394032773
40421948,STRÖMSTAD,60.690216336345806
7324723,STORUGNS,60.49383119113709
49490,LULEÅ,58.335365599286874
6312,LANDSKRONA,56.172322763246
wfp.16287,Nea Karvali,54.224778765011
wfp.17094,Poti,53.71380101613512
wfp.16857,Oktyabrsk,52.31104740497005
wfp.15023,Constanta,52.118247595687244
591,KEMI,51.69977445857085
93482,SILLAMÄE,50.41349166402139
89,RAUMA,49.603036730099824
wfp.16192,Amasra,49.245001642317064
wfp.14938,Tuapse,48.75602188786584
wfp.16974,Yumurtalik Bay,42.74759589583808
932,MALMÖ,42.68803497714508
839,KARLSHAMN,41.4622766477777
984721,HARAHOLMEN,37.77957237988022
2140,OULU,36.94620516473323
wfp.15457,Bodrum,32.340985808438724
wfp.17401,Yuzhnyy,32.06402632637845
8312,SÖLVESBORG,31.520630777456443
403,OSLO,29.637355662511876
wfp.16076,Paphos,28.872865839248657
743,VARBERG,28.37300129562255
3+24442,PIETARSAARI,26.22574112272152
8928379,UUSIKAUPUNKI/NYSTAD,26.20958960215092
1945,SKELLEFTEHAMN,24.503745151073737
62,HUDIKSVALL,22.53048909344767
82,HOLMSUND,22.33580539520381
8128,HÖNSÄTER,21.745069733921763
wfp.15692,Ayvalik,21.34101658423993
9217,LÄNSI,21.127653189779753
423,KASKINEN,20.772208448022734
wfp.15138,Anamur,18.81839032870771
wfp.15585,Itea,18.366513525182455
91321,HELSINGÖR,16.046585996843135
wfp.17338,Kymi (Kimi),15.687915612904673
9949,Parainen,13.705847288400502
wfp.15964,Fethiye,13.2085966950629
wfp.14629,Sitia,12.880367707363481
19,HÄRNÖSAND,12.60420992736812
8475,PORI/MÄNTYLUOTO,12.486136488755074
wfp.16913,Mytilene,10.05811433428381
939929,ÖRNSKÖLDSVIK,9.933913109128024
wfp.15956,Karabiga,7.936185143359056
wfp.17523,Ceyhan,7.569286269286267
9593,NORRSUNDET,7.016590960963913
3280995,RAAHE,6.993381683910329
wfp.15456,Tasucu,6.954106022565101
94,LYSEKIL,6.240650170582429
wfp.16296,Skopelos,5.992653348714163
9238,BERGKVARA,5.988756998405599
wfp.14476,Gulluk,5.717607648525258
8412,KANTVIK,5.359574840651981
352995,VÄSTERVIK,4.626305632288981
532,KARLSKRONA,4.619300861444742
987124,HALMSTAD,4.545831417135874
wfp.14577,Michurin,4.168125352907962
wfp.14656,Limni,3.360985709420244
wfp.14761,Reni,2.7514285714285713
1249,KALMAR,2.525607142073399
9112,TAALINTEHDAS,2.506554893725485
wfp.17402,Nikolayev,2.4166666666666665
wfp.16914,Ashkelon,2.3472222222222223
587,SÖRÅKER,2.120080662537968
4004,MARIESTAD,2.040435139573071
924,INKOO,2.028924306770606
wfp.15896,Cide,1.6928571428571428
90433,VÄSTERÅS,1.620882379105602
34679,KUNDA,1.5872222074665308
98120,KAPELLSKÄR,1.5677631578947369
9447,KLINTEHAMN,1.4651011598273262
4210,ÖREGRUND,1.040909090909091
wfp.16428,Samos,0.8982683982683982
55,KÖGE,0.7499962189957652
wfp.17357,Belgorod-Dnestrovskiy,0.6666666666666666
wfp.14758,Kherson,0.6666666666666666
wfp.17383,Akdeniz,0.6632723112128146
43827439,TORNIO,0.6553029085430068
40042,LIDKÖPING,0.45833333333333326
89412,ÅHUS,0.29200077241553724
4949,BÅLSTA,0.23376623376623376
99,MARIEHAMN,0.23125
wfp.14866,Braila,0.0
12,OSKARSHAMN,0.0
wfp.16210,Trabzon,0.0
10560147,HARGSHAMN,0.0
1049,VAASA,0.0
989,KÖPING,0.0
321441,KRAMFORS,0.0
wfp.16705,Dikili,0.0
wfp.16463,Kusadasi,0.0
wfp.16464,Zonguldak,0.0
4325,LÅNGNÄS,0.0
wfp.15779,Keramoti,0.0
wfp.17332,Supsa,0.0
wfp.16467,Marmaris,0.0
wfp.17558,Bartin,0.0
4215,UDDEVALLA,0.0
wfp.14905,Erdek,0.0
wfp.14392,Kalecik,0.0
879421,HAMINA,0.0
wfp.16880,Sevastopol,0.0
74829,KALAJOKI,0.0
32876239647,GRUVÖN,0.0
wfp.17108,Gocek,0.0
wfp.15588,Bar,0.0
75684,Lappeenranta,0.0
wfp.15019,El Aabde,0.0
wfp.17592,Saida,0.0
4620,RUNDVIK,0.0
21,IGGESUND,0.0
958123,STOCKA,0.0
wfp.16881,Berdyansk,0.0
wfp.16361,Corinth,0.0
wfp.15773,Parga,0.0
9393214,FÖRBY,0.0
93251,ÅMÅL,0.0
wfp.15965,Rize,0.0
wfp.14666,En Naqoura,0.0
wfp.17747,Istanbul,0.0
wfp.14963,Fatsa,0.0
wfp.14664,Hopa,0.0
wfp.16883,Evpatoria,0.0
wfp.17149,Latchi,0.0
wfp.14686,Zelenika,0.0
wfp.14383,Sidi Kerir,0.0
wfp.15463,Ordu,0.0
wfp.17352,Ust Dunaysk,0.0
wfp.15863,Medgidia,0.0
wfp.15198,Gorele,0.0
4559,KARLSBORG,0.0
wfp.17304,Gemikonagi,0.0
wfp.14759,Yalta,0.0
wfp.14760,Kerch,0.0
wfp.14730,Cheikh Zennad,0.0
wfp.16209,Giresun,0.0
