id,port,spread
350,SIMRISHAMN,99.3
wfp.17236,Rhodes,2.4000000000000057
8128,HÖNSÄTER,1.6200000000000045
wfp.15644,Ayancik,1.539999999999992
87213,HELSINGBORG,1.3900000000000006
wfp.16617,Sariyer,1.3799999999999955
wfp.16192,Amasra,1.2399999999999949
wfp.14392,Kalecik,1.210000000000008
111,KIEL,1.1899999999999977
4215,UDDEVALLA,1.1800000000000068
wfp.17401,Yuzhnyy,1.1299999999999955
wfp.16923,Aamshite,1.1299999999999955
14928,VYSOTSKI,1.1200000000000045
wfp.15779,Keramoti,1.1199999999999761
wfp.15463,Ordu,1.0800000000000125
wfp.15198,Gorele,1.0799999999999983
wfp.14686,Zelenika,1.0799999999999983
wfp.16296,Skopelos,1.079999999999984
wfp.15019,El Aabde,1.0699999999999932
wfp.15965,Rize,1.009999999999991
wfp.17304,Gemikonagi,1.0
wfp.17747,Istanbul,1.0
21,IGGESUND,1.0
wfp.16883,Evpatoria,1.0
958123,STOCKA,1.0
wfp.14664,Hopa,1.0
wfp.17332,Supsa,1.0
wfp.16463,Kusadasi,1.0
wfp.15773,Parga,1.0
wfp.14383,Sidi Kerir,1.0
9393214,FÖRBY,1.0
wfp.16019,Ej Jiye,0.9900000000000091
9447,KLINTEHAMN,0.9800000000000182
wfp.14666,En Naqoura,0.9700000000000273
wfp.16974,Yumurtalik Bay,0.9700000000000131
12,OSKARSHAMN,0.9699999999999989
9327575,VYBORG,0.9699999999999989
wfp.16361,Corinth,0.9599999999999795
wfp.14656,Limni,0.9599999999999795
93251,ÅMÅL,0.950000000000017
wfp.14938,Tuapse,0.9499999999999886
wfp.14758,Kherson,0.9499999999999886
10560147,HARGSHAMN,0.9499999999999886
4325,LÅNGNÄS,0.9399999999999977
wfp.16880,Sevastopol,0.9399999999999977
wfp.15863,Medgidia,0.9300000000000068
wfp.17357,Belgorod-Dnestrovskiy,0.9300000000000068
321441,KRAMFORS,0.9300000000000068
wfp.15588,Bar,0.9200000000000159
wfp.16209,Giresun,0.9200000000000017
wfp.16210,Trabzon,0.9199999999999875
32876239647,GRUVÖN,0.9199999999999875
75684,Lappeenranta,0.9199999999999591
wfp.16881,Berdyansk,0.9099999999999966
wfp.14759,Yalta,0.9099999999999966
wfp.14730,Cheikh Zennad,0.9099999999999966
wfp.17402,Nikolayev,0.9000000000000057
wfp.17383,Akdeniz,0.8900000000000148
wfp.17550,Ain El Mraisse _El Jisr,0.8900000000000148
34679,KUNDA,0.8900000000000148
wfp.17592,Saida,0.8899999999999864
wfp.14963,Fatsa,0.8899999999999864
wfp.15957,Sinop,0.8799999999999955
wfp.16467,Marmaris,0.8799999999999955
4620,RUNDVIK,0.8700000000000045
wfp.14905,Erdek,0.8700000000000045
wfp.17352,Ust Dunaysk,0.8700000000000045
4559,KARLSBORG,0.8600000000000136
wfp.14760,Kerch,0.8600000000000136
747712,Eckerö,0.8599999999999994
wfp.17149,Latchi,0.8599999999999852
wfp.17055,Bandirmar,0.8599999999999852
1049,VAASA,0.8499999999999943
wfp.15956,Karabiga,0.8400000000000034
wfp.17094,Poti,0.8400000000000034
wfp.14476,Gulluk,0.8400000000000034
352995,VÄSTERVIK,0.839999999999975
wfp.14629,Sitia,0.8300000000000125
wfp.16428,Samos,0.8300000000000125
4004,MARIESTAD,0.8299999999999841
wfp.15189,Finike,0.8199999999999932
4210,ÖREGRUND,0.8199999999999932
74829,KALAJOKI,0.8199999999999932
wfp.16169,Famagusta,0.8100000000000023
wfp.15505,Varna,0.8100000000000023
wfp.14577,Michurin,0.8100000000000023
wfp.15585,Itea,0.8100000000000023
879421,HAMINA,0.8000000000000114
924,INKOO,0.8000000000000114
wfp.14975,Gelibolu,0.7800000000000011
40042,LIDKÖPING,0.7800000000000011
wfp.15964,Fethiye,0.7699999999999818
wfp.16076,Paphos,0.7600000000000193
2140,OULU,0.7599999999999909
wfp.16608,Burgas,0.7599999999999909
wfp.15275,Thasos,0.7599999999999909
wfp.16882,Izmail,0.7599999999999909
wfp.15138,Anamur,0.7599999999999909
wfp.15695,Inebolu,0.7599999999999909
3+24442,PIETARSAARI,0.75
8092,TROLLHÄTTAN,0.75
wfp.16914,Ashkelon,0.75
423,KASKINEN,0.7400000000000091
9217,LÄNSI,0.7399999999999949
wfp.16705,Dikili,0.7399999999999949
wfp.17108,Gocek,0.7300000000000182
wfp.15237,Batroun,0.7299999999999898
wfp.16913,Mytilene,0.7199999999999989
532,KARLSKRONA,0.7199999999999989
wfp.15456,Tasucu,0.710000000000008
9593,NORRSUNDET,0.6999999999999886
wfp.15896,Cide,0.6999999999999886
587,SÖRÅKER,0.6999999999999886
wfp.15432,Ashdod,0.6700000000000159
wfp.16216,Tekirdag,0.6700000000000017
wfp.14333,Syros (Syra),0.6699999999999875
wfp.16287,Nea Karvali,0.6699999999999875
wfp.16242,Tel Aviv,0.6699999999999875
wfp.17638,Idhra (Hydra),0.6699999999999875
wfp.14866,Braila,0.660000000000025
98120,KAPELLSKÄR,0.660000000000025
4305,KÖPENHAMN,0.6599999999999966
49490,LULEÅ,0.6500000000000057
wfp.17558,Bartin,0.6500000000000057
1249,KALMAR,0.6500000000000057
wfp.17151,Ambarli,0.6400000000000148
4949,BÅLSTA,0.6400000000000006
12812,SÖDERHAMN,0.6299999999999955
3280995,RAAHE,0.6299999999999955
43827439,TORNIO,0.6299999999999955
99,MARIEHAMN,0.6299999999999955
wfp.17532,El Dekheila,0.6299999999999955
wfp.14757,Odessa,0.6200000000000045
wfp.17356,Lavrion (Laurium),0.6100000000000136
19,HÄRNÖSAND,0.6099999999999852
94486,SKOGHALL,0.6000000000000227
21414,KRISTINEHAMN,0.6000000000000227
wfp.14960,Samsun,0.5999999999999943
939929,ÖRNSKÖLDSVIK,0.5999999999999943
8412,KANTVIK,0.5900000000000034
wfp.17455,Diliskelesi,0.5900000000000034
9112,TAALINTEHDAS,0.5900000000000034
1945,SKELLEFTEHAMN,0.589999999999975
89412,ÅHUS,0.5800000000000125
6312,LANDSKRONA,0.5799999999999983
wfp.15715,Hadera,0.5799999999999841
55,KÖGE,0.5699999999999932
wfp.16454,Eregli,0.5699999999999932
wfp.15023,Constanta,0.5600000000000023
wfp.17093,Batumi,0.5600000000000023
wfp.14762,Mariupol,0.5599999999999739
wfp.17201,Vassiliko,0.5400000000000205
wfp.17202,Dhekelia,0.539999999999992
9949,Parainen,0.5300000000000011
