id,port,score
wfp.17151,Ambarli,7.567009106613876
4305,KÖPENHAMN,7.018103011671859
350,SIMRISHAMN,5.619427596293644
782598,TRELLEBORG,5.611754471680041
wfp.16140,Beykoz,5.227835836928539
32140,HÖGANÄS,4.98035421038683
6312,LANDSKRONA,4.558871393695377
111,KIEL,4.4006713915804
wfp.14332,Eleusis,4.123781096847382
747712,Eckerö,3.743619995630434
wfp.14402,Foca,3.353197171527212
wfp.17356,Lavrion (Laurium),3.307643825650728
wfp.14973,Aliaga,3.157255327846617
8241721,FALKENBERG,2.734915724935419
87213,HELSINGBORG,2.731595863442791
wfp.16448,Maltepe,2.680660728923951
wfp.15678,Canakkale,2.4215011961793294
wfp.14569,Akrotiri,2.3667780404087386
9421815,MUSSALO,2.184314682544639
wfp.17455,Diliskelesi,2.1804050281720038
wfp.16270,Alexandria,2.154358936917028
wfp.16617,Sariyer,2.1389039928735802
398,LÖDÖSE,2.1286531155637216
wfp.14959,Derince,2.1145501677111045
wfp.14761,Reni,2.0551202795449868
wfp.14575,Basarabi,1.9482970195113742
wfp.15978,Abu Qir,1.9369692103451868
wfp.17236,Rhodes,1.8737367798322497
9557327,DEGERHAMN,1.8473325440256285
wfp.15023,Constanta,1.8301136132854843
987352,GRENÅ,1.7640945214713912
wfp.16868,Ilyichevsk,1.7606324494622287
4299,SÖDERTÄLJE,1.756573840446841
88,VISBY,1.7310700824324154
wfp.14866,Braila,1.6878126310308166
wfp.17321,Agio Theodoroi,1.6673380698176883
wfp.16923,Aamshite,1.6554191206282647
2321,Agnesberg,1.65306816563806
4949,BÅLSTA,1.6225415082108765
130593,YSTAD,1.6085925258262344
213497901,LOVIISA,1.60580923314315
994,OXELÖSUND,1.6021144748455367
wfp.14757,Odessa,1.5410815500632398
42326,RONEHAMN,1.5239924230411313
wfp.17550,Ain El Mraisse _El Jisr,1.4692261690766746
743,VARBERG,1.46088633481652
wfp.15957,Sinop,1.4414402768034582
wfp.14848,Patmos,1.4138300219907685
953,NYNÄSHAMN,1.3810007019142119
8092,TROLLHÄTTAN,1.3254656387286288
985,STOCKHOLM,1.291998193763307
1416,NORRKÖPING,1.2879864067224085
wfp.15432,Ashdod,1.2786037345986057
9217,LÄNSI,1.2758530562870665
24325,TALLIN,1.2660805020369952
wfp.17638,Idhra (Hydra),1.2439819797359404
wfp.17401,Yuzhnyy,1.2426409084730345
wfp.16464,Zonguldak,1.2191458578023204
wfp.15644,Ayancik,1.2001873105430505
wfp.17092,Buyukcekmece,1.168927628677582
856529,GRISSLEHAMN,1.1673200197456806
839,KARLSHAMN,1.1535165591761796
wfp.15457,Bodrum,1.1477777250067953
wfp.15807,Limassol,1.1106341765542993
492,SLITE,1.1052744128048475
wfp.14333,Syros (Syra),1.1030644912822534
wfp.14975,Gelibolu,1.1006770467435838
wfp.14964,Cesme,1.0963750555877232
wfp.16890,Mersin,1.0937659379778841
wfp.15217,Iskenderun,1.0880651758338824
wfp.15237,Batroun,1.0645566324896527
wfp.16974,Yumurtalik Bay,1.0616452326986516
wfp.16882,Izmail,1.0592916370535088
wfp.15767,Skiathos,1.0583544806179261
wfp.16226,Haifa,1.0572714625015285
645,MUUGA,1.0546153406045702
wfp.17201,Vassiliko,1.0524282792240016
28,HUSUM,1.0469890127096324
wfp.16857,Oktyabrsk,1.0306314842403386
89742,HANKO/HANGÖ,1.0266807454735558
wfp.17307,Yali Island,1.0053757874922293
403,OSLO,1.0025525971424096
1274,PALDISKI,1.001702176021112
wfp.16210,Trabzon,0.9999994772616189
wfp.15588,Bar,0.9999994772616189
wfp.14686,Zelenika,0.9999994772616189
wfp.15463,Ordu,0.9999994772616189
wfp.15198,Gorele,0.9999994772616189
wfp.16209,Giresun,0.9999994772616189
wfp.17523,Ceyhan,0.9931251688101401
wfp.16048,Kos,0.9858585789891703
wfp.16076,Paphos,0.9711645505774591
938412,SUNDSVALL,0.9660822723307563
wfp.17472,Kalimnos Island,0.9419095850428663
wfp.14440,Thira,0.9371158921350159
wfp.17558,Bartin,0.9276463672641766
190,SAINT PETERSBURG,0.9155664408818133
wfp.17402,Nikolayev,0.9149941029908752
7324723,STORUGNS,0.8987397174245589
848,SKUTSKÄR,0.8984648388664117
wfp.16454,Eregli,0.8890326751993164
wfp.17486,Sarkoy,0.8857791215895605
897421,FREDRIKSHAMN,0.8617795857467726
8312,SÖLVESBORG,0.8476190429979364
wfp.17639,Achladi,0.8467380785700247
wfp.14960,Samsun,0.8436625891454754
211239847,STENUNGSUND,0.8378310220915952
wfp.16537,Naxos,0.8349608475049494
