id,port,communityId
350,SIMRISHAMN,38
9217,LÄNSI,38
111,KIEL,38
6312,LANDSKRONA,38
87213,HELSINGBORG,38
932,MALMÖ,38
91321,HELSINGÖR,38
130593,YSTAD,38
55,KÖGE,38
4305,KÖPENHAMN,38
398,LÖDÖSE,38
42326,RONEHAMN,38
32140,HÖGANÄS,38
1249,KALMAR,38
987352,GRENÅ,38
94,LYSEKIL,38
897421,FREDRIKSHAMN,38
2321,Agnesberg,38
939929,ÖRNSKÖLDSVIK,38
8312,SÖLVESBORG,38
839,KARLSHAMN,38
987124,HALMSTAD,38
782598,TRELLEBORG,38
8241721,FALKENBERG,38
743,VARBERG,38
403,OSLO,38
211239847,STENUNGSUND,38
352995,VÄSTERVIK,38
4219,BROFJORDEN,38
40421948,STRÖMSTAD,38
553,SKÖLDVIK,38
7464,VENTSPILS,38
532,KARLSKRONA,38
9238,BERGKVARA,38
4215,UDDEVALLA,38
89412,ÅHUS,38
8214872,UST-LUGA,38
93251,ÅMÅL,38
wfp.14761,Reni,65
wfp.14866,Braila,65
wfp.14337,Sulina (Port Et Zone Franche),65
wfp.16882,Izmail,65
wfp.14577,Michurin,65
wfp.17352,Ust Dunaysk,65
wfp.17321,Agio Theodoroi,81
wfp.17638,Idhra (Hydra),81
wfp.16537,Naxos,81
wfp.14332,Eleusis,81
wfp.17356,Lavrion (Laurium),81
wfp.16287,Nea Karvali,81
wfp.15978,Abu Qir,81
wfp.15456,Tasucu,81
wfp.14973,Aliaga,81
wfp.14402,Foca,81
wfp.15457,Bodrum,81
wfp.17202,Dhekelia,81
wfp.16242,Tel Aviv,81
wfp.16226,Haifa,81
wfp.15436,Izmir,81
wfp.14964,Cesme,81
wfp.15678,Canakkale,81
wfp.16047,Amorgos,81
wfp.14333,Syros (Syra),81
wfp.17307,Yali Island,81
wfp.16048,Kos,81
wfp.17236,Rhodes,81
wfp.14975,Gelibolu,81
wfp.15585,Itea,81
wfp.16705,Dikili,81
wfp.16890,Mersin,81
wfp.15432,Ashdod,81
wfp.14440,Thira,81
wfp.14848,Patmos,81
wfp.16270,Alexandria,81
wfp.14569,Akrotiri,81
wfp.15807,Limassol,81
wfp.15715,Hadera,81
wfp.17201,Vassiliko,81
wfp.15767,Skiathos,81
wfp.17523,Ceyhan,81
wfp.17472,Kalimnos Island,81
wfp.17532,El Dekheila,81
wfp.15779,Keramoti,81
wfp.17338,Kymi (Kimi),81
wfp.16467,Marmaris,81
wfp.16974,Yumurtalik Bay,81
wfp.15217,Iskenderun,81
wfp.16913,Mytilene,81
wfp.15964,Fethiye,81
wfp.15524,Otranto,81
wfp.15189,Finike,81
wfp.15692,Ayvalik,81
wfp.16296,Skopelos,81
wfp.14656,Limni,81
wfp.17639,Achladi,81
wfp.16428,Samos,81
wfp.16076,Paphos,81
wfp.16914,Ashkelon,81
wfp.17108,Gocek,81
wfp.14476,Gulluk,81
wfp.15138,Anamur,81
wfp.14629,Sitia,81
wfp.16457,Kas,81
wfp.17383,Akdeniz,81
wfp.15275,Thasos,81
wfp.16361,Corinth,81
wfp.14666,En Naqoura,81
wfp.17149,Latchi,81
wfp.14383,Sidi Kerir,81
9593,NORRSUNDET,85
747712,Eckerö,85
88,VISBY,85
89,RAUMA,85
12,OSKARSHAMN,85
90433,VÄSTERÅS,85
492,SLITE,85
985,STOCKHOLM,85
